2012-11-01 00:00:00 Launching analysis for f83dd8d766dd4aa02ec00f19cc86827d with LEAN Engine v2.5.0.0.14522
2012-11-20 21:23:29 Score: -0.7063, Tweet: "mass. judge denies auto dealers' demand to kill our little tesla store. yay
2012-12-04 06:41:56 Score: 0.8834, Tweet: am happy to report that tesla was narrowly cash flow positive last week. continued improvement expected through year end.
2012-12-09 10:39:48 Score: 0.5707, Tweet: congrats to @dmetcalf for being the first to drive a tesla model s over 400 miles on a single charge!
2012-12-11 04:55:30 Score: 0.75, Tweet: tesla was just approved for a full class 1 massachusetts auto sales license by a vote of 4 to 1. much appreciated!
2012-12-12 19:13:05 Score: -0.7003, Tweet: tesla articles 30 mins apart: this stock is screaming buy {url} and this stock could get destroyed {url}
2012-12-19 03:21:51 Score: 0.8873, Tweet: thanks! ?@ev: have driven a tesla model s 50 miles now. it's clearly the iphone of cars?by far the best car ever made.
2012-12-27 02:20:42 Score: 0.5994, Tweet: rt @gigaom: tesla?s solar powered super chargers hit the east coast {url}
2013-02-11 21:45:06 Score: 0.8932, Tweet: @tomleykis thanks tom! support of real tesla customers like yourself who drive the car every day is v much appreciated.
2013-02-15 10:06:56 Score: 0.6696, Tweet: rt @benioff: @elonmusk's @teslamotors model s is the best car i have ever owned!
2013-02-18 05:24:18 Score: 0.765, Tweet: rt @teslaroadtrip: #teslaroadtrip all - thanks so much for following our twitter feed.  the trip was a success and everyone has diverted ...
2013-03-08 17:17:35 Score: -0.5255, Tweet: minnesota auto dealers tried to pass legislation to block tesla stores. bill was just defeated in senate. thanks mn!
2013-03-25 20:49:30 Score: 0.5413, Tweet: really exciting @teslamotors announcement coming on thursday. am going to put my money where my mouth is in v major way.
2013-03-31 02:55:44 Score: 0.6597, Tweet: thanks bob ?@bobmetcalfe: tesla takes on tx dealer's association (ma too) - repeal anti-competitive dealer laws - {url}
2013-04-01 07:52:03 Score: 0.9468, Tweet: first profitable q for tesla thanks to awesome customers & hard work by a super dedicated team {url}
